"activeborder","activeCaptionBorder"
"activecaption","activeCaption"
"appworkspace","window"
"background", "desktop"
"buttonface", "control"
"buttonhighlight","controlHighlight"
"buttonshadow", "controlShadow"
"buttontext", "controlText"
"captiontext", "activeCaptionText"
"graytext", "textInactiveText"
"highlight", "textHighlight"
"highlighttext", "textHighlightText"
"inactiveborder", "inactiveCaptionBorder"
"inactivecaption", "inactiveCaption"
"inactivecaptiontext", "inactiveCaptionText"
"infobackground", "info"
"infotext", "infoText"
"menu", "menu"
"menutext", "menuText"
"scrollbar", "scrollbar"
"threeddarkshadow", "controlDkShadow"
"threedface", "control"
"threedhighlight", "controlHighlight"
"threedlightshadow", "controlLtHighlight"
"threedshadow", "controlShadow"
"window", "window"
"windowframe", "windowBorder"
"windowtext", "windowText"
